BPMX-1 BPMY-1 BPMS-1 BPMA-1 BPMB-1 BPMC-1 BPMD-1 
-2.190931e+00 3.451400e-02 10543093 2.157440e+06 3.125478e+06 2.867918e+06 2.392257e+06 
-2.185755e+00 7.254000e-02 10544818 2.164005e+06 3.132308e+06 2.860363e+06 2.388142e+06 
-1.916396e+00 1.450790e-01 10529375 2.215207e+06 3.097218e+06 2.798046e+06 2.418904e+06 
-1.657907e+00 1.522020e-01 10513665 2.255724e+06 3.051115e+06 2.750426e+06 2.456400e+06 
-1.665647e+00 1.236580e-01 10513187 2.250006e+06 3.047213e+06 2.756607e+06 2.459360e+06 
-1.929552e+00 1.133070e-01 10527642 2.207933e+06 3.093165e+06 2.805457e+06 2.421087e+06 
-2.187092e+00 9.585900e-02 10543309 2.166664e+06 3.136574e+06 2.855680e+06 2.384391e+06 
-2.190788e+00 6.414500e-02 10543556 2.161568e+06 3.131345e+06 2.862267e+06 2.388376e+06 
-1.947894e+00 8.872900e-02 10530842 2.202524e+06 3.092097e+06 2.814354e+06 2.421867e+06 
-1.710080e+00 1.607240e-01 10516107 2.249160e+06 3.061712e+06 2.758322e+06 2.446913e+06 
-1.706366e+00 1.761020e-01 10515150 2.251267e+06 3.064175e+06 2.754109e+06 2.445599e+06 
-1.936183e+00 1.008890e-01 10527345 2.204807e+06 3.092056e+06 2.808581e+06 2.421901e+06 
-2.171952e+00 4.571300e-02 10540684 2.161732e+06 3.123668e+06 2.862107e+06 2.393177e+06 
-2.191467e+00 8.267000e-02 10543859 2.164516e+06 3.134653e+06 2.859355e+06 2.385335e+06 
-1.983944e+00 1.420940e-01 10533051 2.204357e+06 3.108940e+06 2.810616e+06 2.409138e+06 
-1.756785e+00 1.428080e-01 10518820 2.238945e+06 3.067408e+06 2.769480e+06 2.442987e+06 
-1.738808e+00 1.202670e-01 10516836 2.238409e+06 3.059535e+06 2.770344e+06 2.448548e+06 
-1.940909e+00 1.172780e-01 10528243 2.206600e+06 3.096107e+06 2.806588e+06 2.418948e+06 
-2.162243e+00 1.071920e-01 10541056 2.171418e+06 3.134420e+06 2.848368e+06 2.386850e+06 
-2.189975e+00 6.960400e-02 10542792 2.162574e+06 3.131754e+06 2.861156e+06 2.387308e+06 
-2.008563e+00 8.566100e-02 10534699 2.193227e+06 3.102323e+06 2.826264e+06 2.412885e+06 
-1.803625e+00 1.509950e-01 10522152 2.233213e+06 3.077513e+06 2.776626e+06 2.434800e+06 
-1.775433e+00 1.710290e-01 10519533 2.240072e+06 3.075918e+06 2.767496e+06 2.436047e+06 
-1.942137e+00 1.073730e-01 10527005 2.205007e+06 3.093818e+06 2.808587e+06 2.419593e+06 
-2.143017e+00 5.654700e-02 10539716 2.167357e+06 3.121126e+06 2.854569e+06 2.396664e+06 
-2.186210e+00 8.829300e-02 10541948 2.165534e+06 3.134527e+06 2.856663e+06 2.385224e+06 
-2.037780e+00 1.353460e-01 10534473 2.194837e+06 3.116956e+06 2.821122e+06 2.401558e+06 
-1.845455e+00 1.363450e-01 10522910 2.224510e+06 3.081781e+06 2.786535e+06 2.430084e+06 
-1.804016e+00 1.172400e-01 10519673 2.227884e+06 3.070494e+06 2.782394e+06 2.438901e+06 
-1.945488e+00 1.223490e-01 10527621 2.206694e+06 3.097368e+06 2.806485e+06 2.417074e+06 
-2.130332e+00 1.140490e-01 10538904 2.177485e+06 3.129528e+06 2.841529e+06 2.390362e+06 
-2.177603e+00 7.803400e-02 10542148 2.165423e+06 3.131359e+06 2.857109e+06 2.388257e+06 
-2.055744e+00 8.388900e-02 10536102 2.185340e+06 3.110331e+06 2.834580e+06 2.405850e+06 
-1.888489e+00 1.431910e-01 10525530 2.219100e+06 3.090764e+06 2.793168e+06 2.422498e+06 
-1.838472e+00 1.644190e-01 10520982 2.229071e+06 3.085478e+06 2.779467e+06 2.426966e+06 
-1.948807e+00 1.116160e-01 10528292 2.204891e+06 3.095978e+06 2.809343e+06 2.418080e+06 
-2.112251e+00 7.110300e-02 10537167 2.174197e+06 3.117800e+06 2.846319e+06 2.398851e+06 
-2.168778e+00 9.426100e-02 10541395 2.168993e+06 3.132756e+06 2.852377e+06 2.387269e+06 
