X Y 
0.039753 0.229983 
0.026202 0.231650 
0.071654 0.226463 
0.088038 0.232501 
0.108147 0.237756 
0.121410 0.236424 
0.119587 0.235927 
0.120636 0.232190 
0.128470 0.233041 
0.129910 0.236644 
0.133685 0.239714 
0.136947 0.237849 
0.147532 0.239123 
0.145430 0.240790 
0.150405 0.234573 
0.155035 0.238785 
0.153251 0.238734 
0.170189 0.241162 
0.176670 0.238615 
0.184269 0.236764 
0.181822 0.239653 
0.187511 0.228223 
0.192508 0.222504 
0.200248 0.225029 
0.200604 0.215551 
0.206131 0.209712 
0.206744 0.206831 
0.208704 0.217039 
0.204803 0.217124 
0.217416 0.217617 
0.222663 0.218029 
0.217087 0.221117 
0.216480 0.212967 
0.220487 0.209880 
0.219828 0.196133 
0.223496 0.199247 
0.226977 0.207350 
0.226735 0.204829 
0.220671 0.204354 
0.220261 0.197174 
0.211905 0.193411 
0.216063 0.199574 
0.221784 0.198623 
0.224131 0.196496 
0.235284 0.203604 
0.237453 0.207017 
0.239997 0.213555 
0.240408 0.225394 
0.250494 0.232377 
0.251220 0.228965 
0.251117 0.229754 
0.258118 0.224108 
0.252988 0.224405 
0.253419 0.220331 
0.252732 0.221379 
0.252428 0.219631 
0.251939 0.217655 
0.254518 0.216359 
0.248992 0.217899 
0.254547 0.218410 
0.250518 0.212824 
0.245777 0.218621 
0.247828 0.229242 
0.247894 0.220250 
0.256619 0.220208 
0.251770 0.225267 
0.250331 0.223039 
0.253625 0.225108 
0.256543 0.226084 
0.249805 0.230797 
0.250840 0.236225 
0.252462 0.248929 
0.257958 0.245646 
0.257170 0.239177 
0.260004 0.241617 
0.256848 0.241383 
0.253666 0.242901 
0.255720 0.235805 
0.262574 0.230943 
0.258298 0.233233 
0.263035 0.238666 
0.263785 0.245801 
0.266243 0.244725 
0.267559 0.240564 
0.268137 0.245246 
0.272832 0.242079 
0.267802 0.236923 
0.259889 0.244679 
0.255938 0.246478 
0.258431 0.247191 
0.263383 0.250329 
0.269465 0.248207 
0.273391 0.252227 
0.274783 0.251521 
0.269853 0.256764 
0.270327 0.255988 
0.261025 0.260842 
0.261279 0.255949 
0.269283 0.246882 
0.262513 0.245127 
0.262092 0.259115 
0.260478 0.261139 
0.260897 0.259847 
0.250214 0.261901 
0.246162 0.258083 
0.243444 0.254840 
0.241265 0.256810 
0.247195 0.259373 
0.247149 0.247209 
0.244238 0.236319 
0.239559 0.234689 
0.233208 0.233022 
0.235306 0.229554 
0.243351 0.234468 
0.241606 0.229900 
0.235653 0.227602 
0.239171 0.228419 
0.227786 0.228066 
0.230872 0.227037 
0.236960 0.221461 
0.245024 0.222191 
0.249630 0.220948 
0.246052 0.215599 
0.242194 0.216341 
0.235827 0.220270 
0.231515 0.219928 
0.233354 0.225053 
0.228376 0.220366 
0.227462 0.216156 
0.220024 0.218039 
0.215830 0.209826 
0.220232 0.207240 
0.223836 0.216042 
0.234250 0.225940 
0.242233 0.229409 
0.243160 0.239502 
0.228380 0.244249 
0.233652 0.241729 
0.235449 0.244626 
0.237082 0.249799 
0.232564 0.250127 
0.236188 0.252236 
0.240020 0.248882 
0.240844 0.247433 
0.239324 0.246542 
0.242150 0.244666 
0.242599 0.246023 
0.253602 0.248583 
0.254261 0.246491 
0.260782 0.241068 
0.260598 0.240558 
0.258299 0.246772 
0.266074 0.249622 
0.270261 0.257353 
0.263376 0.255329 
0.268644 0.259184 
0.266196 0.267629 
0.257402 0.259356 
0.254328 0.257969 
0.247698 0.255492 
0.239055 0.251532 
0.238078 0.255925 
0.236887 0.257377 
0.235352 0.258086 
0.235926 0.246581 
0.234139 0.239978 
0.229536 0.243524 
0.233145 0.245673 
0.235196 0.242501 
0.244652 0.235116 
0.242268 0.234418 
0.245931 0.245023 
0.248395 0.245863 
0.256953 0.248046 
0.262767 0.244945 
0.255362 0.254716 
0.251420 0.252508 
0.256618 0.246620 
0.254152 0.254399 
0.252586 0.254002 
0.246958 0.255558 
0.244982 0.256084 
0.253910 0.261524 
0.250740 0.269011 
0.246801 0.273947 
0.246262 0.275995 
0.248145 0.278951 
0.247545 0.286815 
0.256050 0.278046 
0.255196 0.274928 
0.244744 0.277854 
0.253663 0.280105 
0.242694 0.279810 
0.241512 0.272621 
0.239493 0.265383 
0.245453 0.258922 
0.251162 0.261927 
0.255485 0.256747 
0.256291 0.256179 
0.259443 0.253006 
0.265621 0.245645 
0.266983 0.248859 
0.265862 0.253514 
0.264155 0.252126 
0.262410 0.248256 
0.259426 0.248562 
0.261406 0.243857 
0.258256 0.238252 
0.257785 0.235595 
0.252086 0.241009 
0.251571 0.248583 
0.250952 0.249820 
0.249638 0.246071 
0.241818 0.244337 
0.250576 0.235959 
0.236186 0.240940 
0.236309 0.242066 
0.231394 0.248195 
0.228022 0.246023 
0.235903 0.234752 
0.233676 0.232611 
0.237160 0.236148 
0.235317 0.242536 
0.238535 0.241657 
0.238924 0.244810 
0.246362 0.236473 
0.240856 0.238090 
0.243347 0.240337 
0.235464 0.247769 
0.230947 0.250198 
0.237894 0.256011 
0.241182 0.254438 
0.248067 0.249512 
0.244313 0.253562 
0.239738 0.254243 
0.244197 0.256977 
0.240740 0.250158 
0.246182 0.259636 
0.249285 0.256989 
0.245043 0.260600 
0.246123 0.261352 
0.247713 0.259447 
0.253063 0.260467 
0.253436 0.254151 
0.250649 0.252069 
0.253957 0.238250 
0.255473 0.232207 
0.251966 0.232963 
0.258876 0.232190 
