X Y 
0.175297 0.165895 
0.169180 0.174712 
0.192802 0.180378 
0.193010 0.214172 
0.243521 0.256965 
0.276537 0.286244 
0.319996 0.302912 
0.325813 0.304540 
0.295352 0.002740 
0.152090 0.180438 
0.199329 0.203776 
0.210771 0.206827 
0.201677 0.187863 
0.154951 0.153848 
0.149376 0.145793 
0.174355 0.180296 
0.198855 0.245423 
0.257888 0.251556 
0.233513 0.219305 
0.218650 0.209246 
0.232964 0.246251 
0.241749 0.270540 
0.275834 0.270167 
0.244027 0.250384 
0.271042 0.248005 
0.282479 0.285488 
0.297046 0.225560 
0.215189 0.208208 
0.184401 0.171633 
0.157247 0.153993 
0.149015 0.139657 
0.150477 0.180165 
0.286035 0.274162 
0.271605 0.254961 
0.293363 0.290188 
0.264535 0.261298 
0.237214 0.006870 
0.000018 0.000027 
0.000003 0.000233 
0.000067 0.062075 
0.016846 0.000197 
0.000010 0.112183 
0.064536 0.045094 
0.079480 0.129392 
0.127447 0.126565 
0.139735 0.108635 
0.136694 0.153343 
0.165941 0.216232 
0.250530 0.266000 
0.261529 0.259829 
0.256943 0.003343 
0.000121 0.000008 
0.170331 0.199875 
0.179236 0.157288 
0.140966 0.140252 
0.002124 0.000067 
0.149819 0.185239 
0.176374 0.199223 
0.214015 0.205069 
0.201038 0.220625 
0.240083 0.241077 
0.291000 0.321050 
0.277620 0.278165 
0.255959 0.227358 
0.228538 0.231000 
0.228561 0.264761 
0.305639 0.283821 
0.285503 0.292867 
0.333937 0.327381 
0.218572 0.226294 
0.153447 0.140096 
0.145379 0.193866 
0.206905 0.211351 
0.212879 0.237272 
0.208439 0.205947 
0.205041 0.211621 
0.228517 0.249985 
0.241646 0.265516 
0.282618 0.276544 
0.272456 0.249461 
0.258746 0.283168 
0.285147 0.267195 
0.259069 0.282027 
0.239423 0.232881 
0.256006 0.271228 
0.281195 0.272559 
0.305918 0.296298 
0.297323 0.152918 
0.139794 0.143130 
0.140687 0.206001 
0.164548 0.184733 
0.189164 0.186545 
0.187455 0.163533 
0.152375 0.151078 
0.150939 0.190450 
0.203830 0.193226 
0.171029 0.182447 
0.126297 0.085245 
0.141061 0.110902 
0.144505 0.149040 
0.198726 0.190813 
0.145428 0.197815 
0.194093 0.192336 
0.248999 0.258155 
0.260736 0.262107 
0.257377 0.258517 
0.273029 0.275199 
0.285342 0.226867 
0.236568 0.224926 
0.209275 0.218675 
0.206626 0.194915 
0.002625 0.108867 
0.164415 0.187220 
0.211840 0.221901 
0.217097 0.228741 
0.228682 0.151240 
0.172217 0.184532 
0.223881 0.205410 
0.215940 0.226801 
0.226575 0.229645 
0.219522 0.215213 
0.198249 0.215363 
0.211419 0.213268 
0.205444 0.225544 
0.230032 0.228318 
0.000847 0.000020 
0.000044 0.103921 
0.109787 0.073404 
0.053300 0.000069 
0.017712 0.002871 
0.135668 0.140641 
0.167991 0.182773 
0.184064 0.203267 
0.210059 0.200244 
0.204013 0.210563 
0.205928 0.194562 
0.217036 0.212481 
0.210916 0.234727 
0.238245 0.245093 
0.245600 0.252387 
0.251563 0.229852 
0.233723 0.217251 
0.230974 0.234721 
0.246147 0.243631 
0.251144 0.250514 
0.262498 0.247198 
0.255963 0.268842 
0.263692 0.308272 
0.001293 0.056853 
0.166539 0.220442 
0.206830 0.197846 
0.198489 0.224572 
0.227025 0.226112 
0.232039 0.268962 
0.257168 0.251443 
0.260620 0.240747 
0.185735 0.194276 
0.192917 0.198068 
0.230055 0.239388 
0.224260 0.257685 
0.237388 0.231951 
0.259380 0.231979 
0.003044 0.092531 
0.144268 0.178932 
0.194796 0.199571 
0.187041 0.254625 
0.234247 0.285729 
0.291594 0.295108 
0.289570 0.303624 
0.269686 0.260856 
0.239278 0.251564 
0.255602 0.257698 
0.257351 0.293496 
0.237886 0.261771 
0.231390 0.271224 
0.258966 0.257931 
0.228202 0.225693 
0.215990 0.230774 
0.223657 0.237227 
0.242497 0.244416 
0.250873 0.231988 
0.188256 0.180947 
0.159581 0.173968 
0.125573 0.207688 
0.210493 0.203065 
0.207970 0.225026 
0.190819 0.192365 
0.183522 0.181672 
0.157715 0.145548 
0.149015 0.159225 
0.067858 0.103838 
0.178271 0.208855 
0.213738 0.227992 
0.214945 0.208036 
0.244438 0.240640 
0.241966 0.250559 
0.257383 0.234954 
0.207431 0.204448 
0.209884 0.187420 
0.175454 0.000000 
0.277317 0.283270 
0.278321 0.275731 
0.261797 0.251806 
0.251607 0.242160 
0.233063 0.231373 
0.246317 0.250318 
0.297812 0.304395 
0.309123 0.332436 
0.320356 0.351807 
0.383185 0.361925 
0.345393 0.302147 
0.331901 0.316667 
0.297750 0.313503 
0.317945 0.333479 
0.329528 0.252483 
0.202708 0.215837 
0.186234 0.179570 
0.178593 0.183891 
0.189739 0.187700 
0.173370 0.173758 
0.162088 0.164100 
0.162279 0.161326 
0.172657 0.180219 
0.230525 0.258809 
0.222548 0.197939 
0.204845 0.203504 
0.214913 0.216052 
0.214939 0.234783 
0.264163 0.275030 
0.262660 0.298029 
0.313028 0.313742 
0.287322 0.264833 
0.268753 0.275837 
0.267494 0.286730 
0.277160 0.208040 
0.231752 0.219740 
0.222082 0.217641 
0.206279 0.215362 
0.197753 0.192657 
0.224733 0.226473 
0.221634 0.271898 
0.279978 0.268906 
0.277335 0.253228 
0.244260 0.261101 
0.253410 0.237751 
0.254370 0.254167 
0.261055 0.266474 
0.254901 0.243364 
0.248512 0.249432 
0.258055 0.251527 
0.252474 0.256964 
0.273636 0.272131 
0.300512 0.305718 
0.324301 0.321462 
0.400506 0.390096 
0.339532 0.358457 
